DUID,dbin,q,ratio,price,n,norm
DRYCGT3,0..+3h (post),0.55,42.0460014692099,13114.43,22,registered
MINTARO,<=-24h,0.55,125.901634241245,16178.36,1171,registered
MINTARO,-6..-3h,0.55,125.901634241245,16178.36,78,registered
MINTARO,0..+3h (post),0.55,127.542256809339,16178.36,244,registered
MINTARO,-12..-6h,0.55,125.901634241245,16178.36,153,registered
MINTARO,-24..-12h,0.55,94.6275946275947,15339.575,46,registered
MINTARO,-1..0h,0.55,131.851810136766,16178.36,26,registered
MINTARO,-3..-1h,0.55,125.901634241245,16178.36,17,registered
OSB-AG,0..+3h (post),0.55,121.123273797988,15500,18,registered
PPCCGT,<=-24h,0.55,0.1,-998.399999999997,56,registered
QPS5,<=-24h,0.55,138.765842998824,15300.05,264,registered
QPS5,0..+3h (post),0.55,118.110622201637,15300.05,49,registered
QPS5,-6..-3h,0.55,140.599614041537,15300.05,16,registered
QPS5,-12..-6h,0.55,138.765842998824,15300.05,15,registered
QPS5,-24..-12h,0.55,118.110622201637,15300.05,28,registered
TORRB2,0..+3h (post),0.55,121.43091051247,16600,152,registered
TORRB2,<=-24h,0.55,101.050139123224,15299.245,62,registered
TORRB2,-12..-6h,0.55,127.563107291507,15500,18,registered
