DUID,delta_star,cheap_m,cheap_se,avail_m,avail_se,above_m,above_se,dcheap_m,dcheap_se,davail_m,davail_se,dabove_m,dabove_se,n_ep,fixed_set
TORRB2,-2,0.0355616732516939,0.00888657573702768,0.0788313724525125,0.0202394675962594,0.46610554895001,0.0757001651926469,-0.000216674644387659,0.00846259326344776,-0.0275779431075979,0.0246094585574205,-0.0863852220064323,0.0953732388066915,112,112
TORRB2,-1,0.0358221908793469,0.00910114277377353,0.0816787301740599,0.020605699243995,0.531031922241262,0.0729759091835826,4.3842983265311e-05,0.00851946988428524,-0.0247305853860505,0.0253523031243959,-0.128736080820246,0.0956472474245837,112,112
TORRB2,0,0.0473499220951457,0.0100329271825912,0.0925040168088259,0.0195380616316385,0.378687456280632,0.0706974525918978,0.0115715741990641,0.00966606822203321,-0.0139052987512844,0.0268960115109142,-0.143814582848619,0.13874428492746,112,112
TORRB3,-24,0.0443767661338224,0.00951294688673303,0.112000659197373,0.0248888227629558,0.500240566396543,0.0625389679752172,0,0,0,0,0,0,127,127
TORRB3,-18,0.0402430881037394,0.00920105256103829,0.0962526277013101,0.0228144149362715,0.475264684428839,0.0666272053561794,-0.004133678030083,0.00426823541888061,-0.015748031496063,0.015748031496063,0,0,127,127
TORRB3,-12,0.0402430881037394,0.00920105256103829,0.0978274308509164,0.0228160364415845,0.501501450207397,0.0684370800278327,-0.004133678030083,0.00426823541888061,-0.0141732283464567,0.0158390073092336,0,0,127,127
TORRB3,-9,0.0369965940531327,0.00925082173368222,0.0911285318168573,0.0224161446057213,0.533453035195358,0.0634882707230649,-0.00738017208068971,0.0051041408192176,-0.0208721273805158,0.0180364524549495,0.0195078518355313,0.0202292981613709,127,127
TORRB3,-6,0.0328553056228085,0.00778353847378227,0.0831378113904642,0.0210987739611246,0.503006205660354,0.0694913407690497,-0.0115214605110139,0.00880348064691212,-0.0288628478069089,0.0237735535575672,-0.0563608308583716,0.0337268363476927,127,127
TORRB3,-4,0.0431838876525216,0.00964448364898415,0.0892270995145874,0.020748122463686,0.42540417504661,0.0702917384776369,-0.00119287848130081,0.0106723697354755,-0.0227735596827857,0.0238605644087303,-0.053897395871999,0.0562127207112232,127,127
TORRB3,-3,0.0376965782917792,0.00929258342287486,0.0728965103828209,0.0181503784578113,0.427884261036938,0.0723707587086667,-0.00668018784204321,0.0101476843108192,-0.0391041488145522,0.0209581930749302,-0.0561143254245687,0.0561203360390732,127,127
