duid,tech_label,yyyymm,gas_gj,diesel_gj,fuel_type,incr_hr,static_hr,vom_mwh,srmc_marginal,srmc_allin
BARKIPS1,Recip. (Barker Inlet),202211,18.59,46.0526315789474,gas,7.9,7.9,8.51,155.371,155.371
DRYCGT1,OCGT (Dry Creek),202211,18.59,46.0526315789474,gas,10.97,13.69,8.1,212.0323,262.5971
DRYCGT2,OCGT (Dry Creek),202211,18.59,46.0526315789474,gas,10.97,13.69,8.1,212.0323,262.5971
DRYCGT3,OCGT (Dry Creek),202211,18.59,46.0526315789474,gas,10.97,13.69,8.1,212.0323,262.5971
QPS5,OCGT (Quarantine),202211,18.59,46.0526315789474,gas,8,10.71,8.1,156.82,207.1989
TORRB1,Gas-steam (Torrens B),202212,18.59,44.7368421052632,gas,9.94,10.71,2.5,187.2846,201.5989
TORRB2,Gas-steam (Torrens B),202212,18.59,44.7368421052632,gas,9.94,10.71,2.5,187.2846,201.5989
TORRB3,Gas-steam (Torrens B),202212,18.59,44.7368421052632,gas,9.94,10.71,2.5,187.2846,201.5989
TORRB4,Gas-steam (Torrens B),202212,18.59,44.7368421052632,gas,9.94,10.71,2.5,187.2846,201.5989
PPCCGT,CCGT (Pelican Pt),202212,18.59,44.7368421052632,gas,7.35,7.35,4.1,140.7365,140.7365
OSB-AG,Cogen (Osborne),202212,18.59,44.7368421052632,gas,8.16,8.16,4.1,155.7944,155.7944
MINTARO,OCGT (Mintaro),202212,18.59,44.7368421052632,gas,10,12.72,12,197.9,248.4648
BARKIPS1,Recip. (Barker Inlet),202212,18.59,44.7368421052632,gas,7.9,7.9,8.51,155.371,155.371
DRYCGT1,OCGT (Dry Creek),202212,18.59,44.7368421052632,gas,10.97,13.69,8.1,212.0323,262.5971
DRYCGT2,OCGT (Dry Creek),202212,18.59,44.7368421052632,gas,10.97,13.69,8.1,212.0323,262.5971
DRYCGT3,OCGT (Dry Creek),202212,18.59,44.7368421052632,gas,10.97,13.69,8.1,212.0323,262.5971
QPS5,OCGT (Quarantine),202212,18.59,44.7368421052632,gas,8,10.71,8.1,156.82,207.1989
TORRB1,Gas-steam (Torrens B),202301,12.59,43.4210526315789,gas,9.94,10.71,2.5,127.6446,137.3389
TORRB2,Gas-steam (Torrens B),202301,12.59,43.4210526315789,gas,9.94,10.71,2.5,127.6446,137.3389
TORRB3,Gas-steam (Torrens B),202301,12.59,43.4210526315789,gas,9.94,10.71,2.5,127.6446,137.3389
TORRB4,Gas-steam (Torrens B),202301,12.59,43.4210526315789,gas,9.94,10.71,2.5,127.6446,137.3389
PPCCGT,CCGT (Pelican Pt),202301,12.59,43.4210526315789,gas,7.35,7.35,4.1,96.6365,96.6365
OSB-AG,Cogen (Osborne),202301,12.59,43.4210526315789,gas,8.16,8.16,4.1,106.8344,106.8344
MINTARO,OCGT (Mintaro),202301,12.59,43.4210526315789,gas,10,12.72,12,137.9,172.1448
BARKIPS1,Recip. (Barker Inlet),202301,12.59,43.4210526315789,gas,7.9,7.9,8.51,107.971,107.971
DRYCGT1,OCGT (Dry Creek),202301,12.59,43.4210526315789,gas,10.97,13.69,8.1,146.2123,180.4571
DRYCGT2,OCGT (Dry Creek),202301,12.59,43.4210526315789,gas,10.97,13.69,8.1,146.2123,180.4571
DRYCGT3,OCGT (Dry Creek),202301,12.59,43.4210526315789,gas,10.97,13.69,8.1,146.2123,180.4571
QPS5,OCGT (Quarantine),202301,12.59,43.4210526315789,gas,8,10.71,8.1,108.82,142.9389
TORRB1,Gas-steam (Torrens B),202302,12.59,42.1052631578947,gas,9.94,10.71,2.5,127.6446,137.3389
TORRB2,Gas-steam (Torrens B),202302,12.59,42.1052631578947,gas,9.94,10.71,2.5,127.6446,137.3389
TORRB3,Gas-steam (Torrens B),202302,12.59,42.1052631578947,gas,9.94,10.71,2.5,127.6446,137.3389
TORRB4,Gas-steam (Torrens B),202302,12.59,42.1052631578947,gas,9.94,10.71,2.5,127.6446,137.3389
PPCCGT,CCGT (Pelican Pt),202302,12.59,42.1052631578947,gas,7.35,7.35,4.1,96.6365,96.6365
OSB-AG,Cogen (Osborne),202302,12.59,42.1052631578947,gas,8.16,8.16,4.1,106.8344,106.8344
MINTARO,OCGT (Mintaro),202302,12.59,42.1052631578947,gas,10,12.72,12,137.9,172.1448
BARKIPS1,Recip. (Barker Inlet),202302,12.59,42.1052631578947,gas,7.9,7.9,8.51,107.971,107.971
DRYCGT1,OCGT (Dry Creek),202302,12.59,42.1052631578947,gas,10.97,13.69,8.1,146.2123,180.4571
DRYCGT2,OCGT (Dry Creek),202302,12.59,42.1052631578947,gas,10.97,13.69,8.1,146.2123,180.4571
DRYCGT3,OCGT (Dry Creek),202302,12.59,42.1052631578947,gas,10.97,13.69,8.1,146.2123,180.4571
QPS5,OCGT (Quarantine),202302,12.59,42.1052631578947,gas,8,10.71,8.1,108.82,142.9389
TORRB1,Gas-steam (Torrens B),202303,12.59,42.1052631578947,gas,9.94,10.71,2.5,127.6446,137.3389
TORRB2,Gas-steam (Torrens B),202303,12.59,42.1052631578947,gas,9.94,10.71,2.5,127.6446,137.3389
TORRB3,Gas-steam (Torrens B),202303,12.59,42.1052631578947,gas,9.94,10.71,2.5,127.6446,137.3389
TORRB4,Gas-steam (Torrens B),202303,12.59,42.1052631578947,gas,9.94,10.71,2.5,127.6446,137.3389
