SETTLEMENTDATE,d_t,n_obs
2023-08-13T14:05:00Z,229.99,105771
2023-08-14T14:05:00Z,230.44,105771
2023-08-15T14:05:00Z,230.44,105771
2023-08-16T14:05:00Z,230.44,105771
2023-08-17T14:05:00Z,230.44,105771
2023-08-18T14:05:00Z,230.12556,105771
2023-08-19T14:05:00Z,230,105771
2023-08-20T14:05:00Z,229.99,105771
2023-08-21T14:05:00Z,229.98859,105771
2023-08-22T14:05:00Z,229.93,105771
2023-08-23T14:05:00Z,229.93,105771
2023-08-24T14:05:00Z,229.93,105771
2023-08-25T14:05:00Z,229.07,105771
2023-08-26T14:05:00Z,226.44,105771
2023-08-27T14:05:00Z,226.44,105771
2023-08-28T14:05:00Z,226.44,105771
2023-08-29T14:05:00Z,226.44,105771
2023-08-30T14:05:00Z,226.44,105771
2023-08-31T14:05:00Z,226.44,105771
2023-09-01T14:05:00Z,226.44,105771
2023-09-02T14:05:00Z,226.44,105771
2023-09-03T14:05:00Z,226.42,105771
2023-09-04T14:05:00Z,226.42,105771
2023-09-05T14:05:00Z,226.42,105771
2023-09-06T14:05:00Z,226.10227,105771
2023-09-07T14:05:00Z,225.45,105771
2023-09-08T14:05:00Z,225.44,105771
2023-09-09T14:05:00Z,225.44,105771
2023-09-10T14:05:00Z,225.44,105771
2023-09-11T14:05:00Z,225.04402,105771
2023-09-12T14:05:00Z,222.03888,105771
2023-09-13T14:05:00Z,221.07275,105771
2023-09-14T14:05:00Z,220.77,105771
2023-09-15T14:05:00Z,220.04408,105771
2023-09-16T14:05:00Z,220.27035,105771
2023-09-17T14:05:00Z,220.27035,105771
2023-09-18T14:05:00Z,220.44,105771
2023-09-19T14:05:00Z,219.95225,105771
2023-09-20T14:05:00Z,219.47327,105771
2023-09-21T14:05:00Z,219.53196,105771
2023-09-22T14:05:00Z,217.79115,105771
2023-09-23T14:05:00Z,216.56136,105771
2023-09-24T14:05:00Z,215.59296,105771
2023-09-25T14:05:00Z,214.03284,105771
