DUID,regime,q,norm,ratio,lo,hi,price,plo,phi,n_mth
TORRB4,DP,0.5,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,29
TORRB4,DN,0.5,MAXAVAIL,118.309041808419,3.36876796750259,137.675707164669,15490.7,349.83,16595.02,31
BARKIPS1,UN,0.55,MAXAVAIL,140.673197518728,41.5961806453101,159.874214410991,15493.8,8443.66,16600,35
DRYCGT1,UN,0.55,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,UN,0.55,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
DRYCGT3,UN,0.55,MAXAVAIL,109.076421031813,31.4327864345202,115.730558655826,15787.8,4595.86,15787.8,35
OSB-AG,UN,0.55,MAXAVAIL,0.1,0.1,0.1,-999.4,-999.9,-999.2,33
PPCCGT,UN,0.55,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
PPCCGT,UP,0.55,MAXAVAIL,0.1,0.1,0.1,-998.4,-998.625,-998.3,34
QPS5,UN,0.55,MAXAVAIL,145.024055947807,118.110622201637,165.541471037479,15905.205,15300.05,16510.36,34
TORRB2,UN,0.55,MAXAVAIL,23.4044859860306,1.55551549212794,133.189508091197,6737.7,273.2275,16595.02,30
TORRB2,UP,0.55,MAXAVAIL,127.537594670049,82.7120863114212,144.12651888119,16042.86,15490.7,16595.02,30
TORRB3,UN,0.55,MAXAVAIL,83.4540200667317,2.07605795367155,125.992708994077,12914.75,348.97,16595.02,34
TORRB3,UP,0.55,MAXAVAIL,124.447823318106,88.3943426264692,140.277935097759,16042.86,15490.7,16595.02,34
TORRB3,DN,0.55,MAXAVAIL,121.358051966162,75.8349858984668,140.277935097759,15490.7,14048.095,16595.02,31
TORRB3,DP,0.55,MAXAVAIL,127.537594670049,83.4540200667317,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,UN,0.55,MAXAVAIL,92.5927314308961,2.79458370256013,127.537594670049,14244.2,349.1725,16595.02,34
TORRB4,UP,0.55,MAXAVAIL,127.537594670049,68.9578854855124,145.409380142334,15490.7,15098.49,16595.02,33
TORRB4,DP,0.55,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,29
TORRB4,DN,0.55,MAXAVAIL,121.358051966162,3.36876796750259,140.277935097759,15490.7,455.19,16595.02,31
