unit,outcome,base_estimate,base_p,dropped_month,estimate,std.error,p.value,sign_flip,crosses_05,crosses_10
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202208,0.126965255176397,0.0832286297006065,0.136383850528544,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202209,0.127373367609777,0.0831943390912744,0.13501335971191,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202210,0.127485667069133,0.0836855606197308,0.136909483536362,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202211,0.128145836870034,0.0839788738307409,0.136277045184962,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202212,0.128904807950067,0.0841662420793692,0.134886165858114,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202301,0.12982838849158,0.0844852914429317,0.133622271059506,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202302,0.1283216686427,0.0841151449298128,0.136371924361558,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202303,0.128970359161863,0.083849624339468,0.133276119604776,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202304,0.128455402000088,0.083100857099443,0.131416662201939,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202305,0.127618172366688,0.0831008643517171,0.133866049054509,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202306,0.128283778438273,0.0833031174573888,0.132825519738348,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202307,0.127646709725262,0.082404296817264,0.13063367848255,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202308,0.127103551414279,0.0828262378047788,0.134140930967331,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202309,0.127315444430247,0.0832282372115403,0.135339109688938,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202310,-0.10491232883821,0.0574884315288551,0.0768084336652696,TRUE,FALSE,TRUE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202311,0.129136647964912,0.0844605243408117,0.135526003391491,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202312,0.128708443675361,0.0843149745469695,0.136130515466292,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202401,0.127952420078602,0.0843447400173656,0.138506184988929,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202402,0.128332034483211,0.0844600085947807,0.137896950907636,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202403,0.155711868732829,0.0709301628060372,0.0350679655367077,FALSE,TRUE,TRUE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202404,0.127159420409316,0.083554549710523,0.137288013257837,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202405,0.127232335070733,0.0828375077153316,0.133811061583809,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202406,0.126952876228204,0.0831803113510245,0.136200618232174,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202407,0.127225083803405,0.0832812296198814,0.13584852167024,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202408,0.127443296797699,0.0830772296177113,0.134275122935985,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202409,0.125221926072794,0.0832381565577843,0.141716863738984,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202410,0.12686067818092,0.083489822748609,0.137888585171847,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202411,0.12759865299364,0.0842586731480782,0.139174384994987,FALSE,FALSE,FALSE
pelican,b_2xSRMC,0.127832772306574,0.13533726578742,202412,0.128218050209606,0.084476976687648,0.138312508067108,FALSE,FALSE,FALSE
